id	date	kms	alti	lat_deg	lat_min	long_deg	long_min	Poids (g)	taille	id_couleur	couleur	id_matiere	matiere	id_origine	origine	id_pays	pays	post	objet	gps	lieu	contexte	depart	arrivee	annee	mois	jour	kms_cumule	kms_depart_vol_oiseau	kms_depart_corde	kms_etape_segments	kms_etape_cumule	lat_dec	long_dec	lat_rad	long_rad	long_x	lat_y
1	41182	40	1	47	59,66	-4	-6,155	5,86	62	4	Jaune	0	Mixte	2	Artificiel	1	France	1	0	N 47°59,660" W 4°06,155"	Rue Sainte Catherine, Quimper	0	Quimper	St-Goazec	2012	9	30	40	0	0	0	0	47,99433333	-4,102583333	0,837658431	-0,071603527	0	0
2	41183	60	1	48	14,518	-3	-35,98	0,15	74	12	Rouge	3	Plastique	2	Artificiel	1	France	1	0	N 48°14,518" W 3°35,980"	Port-Carhaix	0	St-Goazec	Rostrenen	2012	10	1	100	46,40231576	46,40221326	46,40231576	46,40231576	48,24196667	-3,599666667	0,841980445	-0,062825982	0	0
3	41184	40	1	48	10,365	-3	-0,004	0,22	17	15	Noir	1	Végétale	1	Naturel	1	France	1	0	N 48°10,365' W 3°00,004'	Porte de Guerlédan	0	Rostrenen	Mur-de-Bretagne	2012	10	2	140	84,29025201	84,2896376	45,10726045	91,50957622	48,17275	-3,000066667	0,840772387	-0,052360997	0	0
4	41185	80	1	48	6,37	-2	-54,972	1,71	0	14	Gris	2	Métallique	2	Artificiel	1	France	1	0	N 48°06,370' W 2°54,972'	Pontivy, Escalier d'écluses	0	Mur-de-Bretagne	Guillac	2012	10	3	220	89,08224662	89,08152135	9,674461311	101,1840375	48,10616667	-2,9162	0,83961029	-0,050897249	0	0
5	41186	80	1	47	31,889	-1	-57,664	0,13	103	9	Bleu Violet	3	Plastique	2	Artificiel	1	France	1	0	N 47°31,889' W 1°57,664'	Canal de Nantes à Brest	0	Guillac	Guenrouet	2012	10	4	300	168,179399	168,1745187	95,78190727	196,9659448	47,53148333	-1,961066667	0,829580182	-0,034227041	0	0
6	41187	80	1	47	28,48	-1	-50,376	2,18	23	0	Mixte	0	Mixte	2	Artificiel	1	France	1	0	N 47°28,480' W 1°50,376'	Ecluse Bougard	0	Guenrouet	Nantes	2012	10	5	380	178,874731	178,8688592	11,1011777	208,0671225	47,47466667	-1,8396	0,828588545	-0,03210705	0	0
7	41188	0	1	47	21,257	-1	-15,539	0,54	42	17	Brun	1	Végétale	2	Artificiel	1	France	1	0	N 47°21,257" W 1°15,539"	Blanchelande, Oudon	0	Nantes	Nantes	2012	10	6	380	224,5349125	224,5232987	45,70571161	253,7728341	47,35428333	-1,258983333	0,826487461	-0,021973386	0	0
8	41189	0	1	47	21,257	-1	-15,539	0,2	60	17	Brun	7	Animale	1	Naturel	1	France	1	0	N 47°21,257" W 1°15,539"	Blanchelande, Oudon	0	Nantes	Nantes	2012	10	7	380	224,5349125	224,5232987	0	253,7728341	47,35428333	-1,258983333	0,826487461	-0,021973386	0	0
9	41190	0	1	47	13,764	-1	-35,059	0,49	12	13	Blanc	3	Plastique	2	Artificiel	1	France	1	0	N 47°13,764' W 1°35,059'	Ping Base, Nantes	0	Nantes	Nantes	2012	10	8	380	207,0966451	207,0875325	28,20138751	281,9742216	47,2294	-1,584316667	0,824307837	-0,027651519	0	0
10	41191	55	1	47	4,208	-2	-6,21	7,92	46	17	Brun	2	Métallique	2	Artificiel	1	France	1	0	N 47°04,208' W 2°06,210'	Pornic	0	Nantes	Pornic	2012	10	9	435	181,9371333	181,9309547	43,08300935	325,057231	47,07013333	-2,1035	0,821528112	-0,03671297	0	0
